mode,batch_size,repeat_index,wall_s,host_ownership_copy_s,h2d_cuda_s,forward_cuda_s,images_per_s,host_input_bytes,device_input_bytes,logical_h2d_gbps,output_sum,output_norm_error
r2_pageable_fp32,16,5,0.007964067161083221,0.0005710646510124207,0.0014056320190429688,0.005889023780822754,2009.0237408073017,9633792,4816896,6.853708416914985,-24.953208923339844,0.0
r0_gpu_resident,16,6,0.005865065380930901,0.0,0.0,0.005814080238342285,2728.0173298699847,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,6,0.006079798564314842,0.0,0.00022483199834823607,0.005773439884185791,2631.6661367551587,4816896,4816896,21.424423726996558,-24.953208923339844,0.0
r2_pageable_fp32,16,6,0.007276104763150215,0.0005790088325738907,0.0013903679847717286,0.005209375858306884,2198.9787834050844,9633792,4816896,6.928951260037595,-24.953208923339844,0.0
r1_pinned_fp16,16,7,0.005469856783747673,0.0,0.00022275200486183167,0.005169727802276611,2925.1222897718353,4816896,4816896,21.624478769507903,-24.953208923339844,0.0
r0_gpu_resident,16,7,0.0047254376113414764,0.0,0.0,0.004680575847625733,3385.9297944382033,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,7,0.0076727960258722305,0.0005862340331077576,0.0012354240417480468,0.005754879951477051,2085.28937118215,9633792,4816896,7.797963836262078,-24.953208923339844,0.0
r0_gpu_resident,16,8,0.005556900054216385,0.0,0.0,0.005508959770202637,2879.3031805313376,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,8,0.011996811255812645,0.0,0.00024383999407291413,0.011546463966369628,1333.687732417041,4816896,4816896,19.754331188835373,-24.953208923339844,0.0
r2_pageable_fp32,16,8,0.005893504247069359,0.0005527492612600327,0.0013013759851455689,0.003965023994445801,2714.853392691837,9633792,4816896,7.402773764049739,-24.953208923339844,0.0
r1_pinned_fp16,16,9,0.0042351484298706055,0.0,0.00021699200570583343,0.003957760095596313,3777.907732147381,4816896,4816896,22.1984952133677,-24.953208923339844,0.0
r2_pageable_fp32,16,9,0.005710344761610031,0.0005551837384700775,0.0011353919506072998,0.003947520017623901,2801.932399522722,9633792,4816896,8.484992336652612,-24.953208923339844,0.0
r0_gpu_resident,16,9,0.004031965509057045,0.0,0.0,0.003996671915054322,3968.287914184543,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,10,0.005757154896855354,0.0005735605955123901,0.0011408640146255494,0.003967904090881348,2779.150515602671,9633792,4816896,8.444294741965344,-24.953208923339844,0.0
r1_pinned_fp16,16,10,0.004187239333987236,0.0,0.00021718400716781616,0.003910847902297974,3821.13338259178,4816896,4816896,22.178870639761367,-24.953208923339844,0.0
r0_gpu_resident,16,10,0.0039989035576581955,0.0,0.0,0.00396396803855896,4001.0967429706625,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,11,0.0057313814759254456,0.000561865046620369,0.0011353280544281006,0.003959840059280396,2791.648063770957,9633792,4816896,8.485469871395749,-24.953208923339844,0.0
r0_gpu_resident,16,11,0.0040053147822618484,0.0,0.0,0.003969696044921875,3994.6922700953387,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,11,0.004160849377512932,0.0,0.00021724799275398254,0.0038855359554290773,3845.3687092041996,4816896,4816896,22.172338344477975,-24.953208923339844,0.0
r1_pinned_fp16,16,12,0.004331920295953751,0.0,0.00021724799275398254,0.004056863784790039,3693.512093226847,4816896,4816896,22.172338344477975,-24.953208923339844,0.0
r0_gpu_resident,16,12,0.004101548343896866,0.0,0.0,0.004064735889434815,3900.9658447176707,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,12,0.0061993710696697235,0.0005628205835819244,0.0011402239799499512,0.004427008152008057,2580.9069694633417,9633792,4816896,8.449034724232746,-24.953208923339844,0.0
r2_pageable_fp32,16,13,0.005858972668647766,0.0005770493298768997,0.001146016001701355,0.004061183929443359,2730.854179542154,9633792,4816896,8.406332883395907,-24.953208923339844,0.0
r1_pinned_fp16,16,13,0.004188684746623039,0.0,0.00021651199460029602,0.003915872097015381,3819.814802940079,4816896,4816896,22.247709688751875,-24.953208923339844,0.0
r0_gpu_resident,16,13,0.003928201273083687,0.0,0.0,0.003891968011856079,4073.1110469397618,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,14,0.006156841292977333,0.0005568806082010269,0.001149183988571167,0.004377344131469727,2598.7351693229534,9633792,4816896,8.383158916074121,-24.953208923339844,0.0
r1_pinned_fp16,16,14,0.004206812009215355,0.0,0.00021756799519062042,0.003929759979248047,3803.3551213961387,4816896,4816896,22.139726919760033,-24.953208923339844,0.0
r0_gpu_resident,16,14,0.004006166011095047,0.0,0.0,0.003970655918121338,3993.8434791988448,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,15,0.004177454859018326,0.0,0.00021715199947357179,0.0039015359878540037,3830.083277969853,4816896,4816896,22.182139753155873,-24.953208923339844,0.0
r0_gpu_resident,16,15,0.00400051474571228,0.0,0.0,0.003965183973312378,3999.485320519984,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,15,0.005789978429675102,0.000554421916604042,0.0011310080289840699,0.00403439998626709,2763.3954416817787,9633792,4816896,8.51788117601037,-24.953208923339844,0.0
r0_gpu_resident,16,16,0.003934087231755257,0.0,0.0,0.003896064043045044,4067.0170887037857,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,16,0.0042532458901405334,0.0,0.000217056006193161,0.003978463888168335,3761.832824452888,4816896,4816896,22.191949831203384,-24.953208923339844,0.0
r2_pageable_fp32,16,16,0.005784530192613602,0.0005565378814935684,0.0011297919750213623,0.0040273919105529785,2765.998182606215,9633792,4816896,8.52704941528536,-24.953208923339844,0.0
r2_pageable_fp32,16,17,0.00991739146411419,0.0005578640848398209,0.0013752000331878661,0.007913472175598145,1613.3274619536362,9633792,4816896,7.005375049088533,-24.953208923339844,0.0
r0_gpu_resident,16,17,0.003943551331758499,0.0,0.0,0.003905375957489014,4057.2566841333132,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,17,0.004198126494884491,0.0,0.00021702399849891663,0.003924191951751709,3811.22389225202,4816896,4816896,22.195222801703405,-24.953208923339844,0.0
r1_pinned_fp16,16,18,0.0041411519050598145,0.0,0.000215488001704216,0.0038698239326477053,3863.659282928163,4816896,4816896,22.353430176645226,-24.953208923339844,0.0
r2_pageable_fp32,16,18,0.005768924951553345,0.0005666427314281464,0.0011268160343170166,0.004004767894744873,2773.4803510820207,9633792,4816896,8.549569500791861,-24.953208923339844,0.0
r0_gpu_resident,16,18,0.003921709954738617,0.0,0.0,0.003885024070739746,4079.8529683887355,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,19,0.004215231165289879,0.0,0.00021660800278186797,0.00393945598602295,3795.758612659548,4816896,4816896,22.23784873198239,-24.953208923339844,0.0
r2_pageable_fp32,16,19,0.006512392312288284,0.0005627088248729706,0.001143839955329895,0.0047329277992248535,2456.854444995501,9633792,4816896,8.422325129586435,-24.953208923339844,0.0
r0_gpu_resident,16,19,0.003933398053050041,0.0,0.0,0.0038966720104217528,4067.7296790730998,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,20,0.005757339298725128,0.0005767233669757843,0.0011344319581985474,0.0039751679897308346,2779.061502166973,9633792,4816896,8.492172607071337,-24.953208923339844,0.0
r1_pinned_fp16,16,20,0.004139324650168419,0.0,0.0002163520008325577,0.0038640639781951903,3865.3648486713887,4816896,4816896,22.26416202052119,-24.953208923339844,0.0
r0_gpu_resident,16,20,0.003907466307282448,0.0,0.0,0.003871999979019165,4094.725006375712,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,21,0.00571615993976593,0.0005728136748075485,0.0011524159908294677,0.00392192006111145,2799.08193063177,9633792,4816896,8.35964797144644,-24.953208923339844,0.0
r1_pinned_fp16,16,21,0.0041927918791770935,0.0,0.0002165759950876236,0.003919264078140259,3816.073027488374,4816896,4816896,22.241135256246437,-24.953208923339844,0.0
r0_gpu_resident,16,21,0.003921043127775192,0.0,0.0,0.0038876800537109373,4080.5468031356318,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,22,0.005751039832830429,0.0005701687186956406,0.0011618239879608153,0.003947232007980347,2782.105578309905,9633792,4816896,8.29195480539942,-24.953208923339844,0.0
r1_pinned_fp16,16,22,0.004129638895392418,0.0,0.00021641600131988526,0.003853856086730957,3874.430768717274,4816896,4816896,22.25757786218464,-24.953208923339844,0.0
r0_gpu_resident,16,22,0.0039555784314870834,0.0,0.0,0.00392192006111145,4044.9204274745894,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,23,0.005807558074593544,0.0005714613944292068,0.001137887954711914,0.004024447917938233,2755.0305643942784,9633792,4816896,8.466380156417987,-24.953208923339844,0.0
r0_gpu_resident,16,23,0.003914903849363327,0.0,0.0,0.0038795199394226075,4086.945839704862,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,23,0.004400854930281639,0.0,0.00021712000668048858,0.00412659215927124,3635.6572196702828,4816896,4816896,22.185408307805055,-24.953208923339844,0.0
r1_pinned_fp16,16,24,0.004164665937423706,0.0,0.00021670399606227875,0.00388921594619751,3841.8447578769596,4816896,4816896,22.227998041234404,-24.953208923339844,0.0
r0_gpu_resident,16,24,0.0039020273834466934,0.0,0.0,0.003865920066833496,4100.432525890443,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,24,0.005756756290793419,0.0005706232041120529,0.0011302080154418945,0.00398524808883667,2779.342947970239,9633792,4816896,8.523910526535534,-24.953208923339844,0.0
r1_pinned_fp16,16,25,0.004168769344687462,0.0,0.00021609599888324738,0.0038946239948272703,3838.0631493536234,4816896,4816896,22.29053765406586,-24.953208923339844,0.0
r0_gpu_resident,16,25,0.011240407824516296,0.0,0.0,0.011203167915344238,1423.4358975038808,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,25,0.005725223571062088,0.0005714781582355499,0.0011367360353469848,0.00394323205947876,2794.6506894283316,9633792,4816896,8.474959621614632,-24.953208923339844,0.0
r2_pageable_fp32,16,26,0.005790065973997116,0.0005857851356267929,0.0011368319988250733,0.003996288061141968,2763.353659846911,9633792,4816896,8.47424422426235,-24.953208923339844,0.0
r1_pinned_fp16,16,26,0.004158839583396912,0.0,0.00021622399985790253,0.003885792016983032,3847.2270158906467,4816896,4816896,22.277342030327596,-24.953208923339844,0.0
r0_gpu_resident,16,26,0.003975965082645416,0.0,0.0,0.003941472053527832,4024.1802096899623,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,27,0.005788475275039673,0.00057208351790905,0.0011445120573043822,0.00400278377532959,2764.113041821767,9633792,4816896,8.41737921284118,-24.953208923339844,0.0
r0_gpu_resident,16,27,0.0038956869393587112,0.0,0.0,0.0038605120182037354,4107.106204646373,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,27,0.0042059700936079025,0.0,0.0002168000042438507,0.003933856010437012,3804.1164449353273,4816896,4816896,22.218154546630394,-24.953208923339844,0.0
r1_pinned_fp16,16,28,0.004148127511143684,0.0,0.00021583999693393707,0.00387606406211853,3857.16204649375,4816896,4816896,22.316975854453542,-24.953208923339844,0.0
r0_gpu_resident,16,28,0.003915475681424141,0.0,0.0,0.0038801920413970947,4086.3489654417835,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,28,0.011407356709241867,0.0061572398990392685,0.0011596479415893555,0.004013919830322265,1402.6036362163834,9633792,4816896,8.307514422693155,-24.953208923339844,0.0
r2_pageable_fp32,16,29,0.005742887035012245,0.0005657635629177094,0.0011307519674301147,0.003977279901504516,2786.0551500410775,9633792,4816896,8.519810071075918,-24.953208923339844,0.0
r0_gpu_resident,16,29,0.004505904391407967,0.0,0.0,0.004464735984802246,3550.8964705308485,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,29,0.004459548741579056,0.0,0.00021852800250053405,0.004181536197662353,3587.8069569735553,4816896,4816896,22.042465701795944,-24.953208923339844,0.0
r1_pinned_fp16,16,30,0.0041496362537145615,0.0,0.0002168000042438507,0.003874720096588135,3855.759642951245,4816896,4816896,22.218154546630394,-24.953208923339844,0.0
r0_gpu_resident,16,30,0.0039038360118865967,0.0,0.0,0.003866911888122559,4098.532815231581,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,30,0.011172214522957802,0.006002780050039291,0.0011597440242767335,0.003929152011871338,1432.1243086696531,9633792,4816896,8.306826160202075,-24.953208923339844,0.0
r2_pageable_fp32,64,1,0.03502161614596844,0.0237208753824234,0.004318751811981201,0.006874015808105469,1827.4427922815164,38535168,19267584,8.922755851145386,-99.87991333007812,0.0
r1_pinned_fp16,64,1,0.007745560258626938,0.0,0.0008075839877128601,0.006870272159576416,8262.798024031556,19267584,19267584,23.858303647856218,-99.87991333007812,0.0
r0_gpu_resident,64,1,0.0068536922335624695,0.0,0.0,0.006817759990692139,9338.032380064073,0,19267584,,-99.87991333007812,0.0
r0_gpu_resident,64,2,0.006918586790561676,0.0,0.0,0.006879680156707764,9250.444048386975,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,2,0.007781505584716797,0.0,0.0007989439964294434,0.006916800022125244,8224.629450333967,19267584,19267584,24.116313641642794,-99.87991333007812,0.0
r2_pageable_fp32,64,2,0.03403720259666443,0.022778963670134544,0.004312928199768066,0.006844480037689209,1880.2955330492366,38535168,19267584,8.934803969626083,-99.87991333007812,0.0
r0_gpu_resident,64,3,0.006959808990359306,0.0,0.0,0.006909823894500732,9195.65466360535,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,3,0.0077148545533418655,0.0,0.0007970560193061828,0.006856607913970947,8295.684585819825,19267584,19267584,24.17343766724445,-99.87991333007812,0.0
r2_pageable_fp32,64,3,0.04016372002661228,0.028853675350546837,0.004353951930999756,0.006844096183776856,1593.4778939200332,38535168,19267584,8.85061861285904,-99.87991333007812,0.0
r0_gpu_resident,64,4,0.006875308230519295,0.0,0.0,0.0068364481925964355,9308.673568394483,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,4,0.032279251143336296,0.02065376006066799,0.004689023971557617,0.0068351998329162595,1982.6977929508787,38535168,19267584,8.218164000385617,-99.87991333007812,0.0
r1_pinned_fp16,64,4,0.007718844339251518,0.0,0.0008027840256690979,0.006856544017791748,8291.396637518663,19267584,19267584,24.000955903352725,-99.87991333007812,0.0
r0_gpu_resident,64,5,0.00696955993771553,0.0,0.0,0.00682377576828003,9182.789239485011,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,5,0.007890939712524414,0.0,0.0008027200102806091,0.0070143680572509765,8110.56760431459,19267584,19267584,24.00286993377003,-99.87991333007812,0.0
r2_pageable_fp32,64,5,0.030496245250105858,0.01952543668448925,0.00411027193069458,0.006773759841918945,2098.6190094919257,38535168,19267584,9.375332982771308,-99.87991333007812,0.0
r1_pinned_fp16,64,6,0.007767379283905029,0.0,0.0008025599718093872,0.006850624084472656,8239.587338372405,19267584,19267584,24.007656345681998,-99.87991333007812,0.0
r0_gpu_resident,64,6,0.009575923904776573,0.0,0.0,0.009392224311828613,6683.428213968588,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,6,0.030964409932494164,0.01989792101085186,0.0041398401260375976,0.006841343879699707,2066.8890555165453,38535168,19267584,9.30837105462899,-99.87991333007812,0.0
r1_pinned_fp16,64,7,0.00770135223865509,0.0,0.0008027200102806091,0.006840256214141846,8310.2289074336,19267584,19267584,24.00286993377003,-99.87991333007812,0.0
r2_pageable_fp32,64,7,0.030764305964112282,0.01971886307001114,0.004125408172607422,0.006837567806243896,2080.3329701199305,38535168,19267584,9.340934614875755,-99.87991333007812,0.0
r0_gpu_resident,64,7,0.006883205845952034,0.0,0.0,0.006845983982086181,9297.993032946699,0,19267584,,-99.87991333007812,0.0
r0_gpu_resident,64,8,0.00688006728887558,0.0,0.0,0.006844096183776856,9302.234602193785,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,8,0.031279245391488075,0.020222248509526253,0.004132383823394775,0.006842400074005127,2046.0851660256524,38535168,19267584,9.3251666947876,-99.87991333007812,0.0
r1_pinned_fp16,64,8,0.007713574916124344,0.0,0.0008007040023803711,0.006854720115661621,8297.060791646081,19267584,19267584,24.0633042206863,-99.87991333007812,0.0
r1_pinned_fp16,64,9,0.007745891809463501,0.0,0.0007928000092506409,0.006824895858764648,8262.444347829432,19267584,19267584,24.303208596341754,-99.87991333007812,0.0
r0_gpu_resident,64,9,0.009243333712220192,0.0,0.0,0.008960864067077638,6923.908839879761,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,9,0.03204616345465183,0.02100926823914051,0.0041223039627075195,0.006829792022705078,1997.1189403238764,38535168,19267584,9.347968599261224,-99.87991333007812,0.0
r1_pinned_fp16,64,10,0.007702535018324852,0.0,0.0008033599853515625,0.006840767860412597,8308.95281199497,19267584,19267584,23.983748694638074,-99.87991333007812,0.0
r2_pageable_fp32,64,10,0.03198877535760403,0.020949913188815117,0.004123616218566895,0.006831103801727295,2000.7017863153867,38535168,19267584,9.344993800948906,-99.87991333007812,0.0
r0_gpu_resident,64,10,0.0071240924298763275,0.0,0.0,0.007080319881439209,8983.600455772164,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,11,0.03172776289284229,0.020705929026007652,0.004120672225952148,0.006817920207977295,2017.160813264847,38535168,19267584,9.351670282655355,-99.87991333007812,0.0
r0_gpu_resident,64,11,0.006884269416332245,0.0,0.0,0.0068484158515930175,9296.556559533588,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,11,0.010210316628217697,0.0,0.0007927039861679077,0.00936774444580078,6268.169962832169,19267584,19267584,24.306152531342022,-99.87991333007812,0.0
r2_pageable_fp32,64,12,0.03230339474976063,0.021247979253530502,0.0041337919235229495,0.006836095809936524,1981.2159216013742,38535168,19267584,9.321990248401063,-99.87991333007812,0.0
r0_gpu_resident,64,12,0.0068754516541957855,0.0,0.0,0.006838592052459716,9308.479387087773,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,12,0.007671225816011429,0.0,0.0007928320169448852,0.006829887866973877,8342.864821736679,19267584,19267584,24.302227443142492,-99.87991333007812,0.0
r0_gpu_resident,64,13,0.0068480875343084335,0.0,0.0,0.006819263935089111,9345.67493177687,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,13,0.031756820157170296,0.020733168348670006,0.004123424053192139,0.006817791938781738,2015.3151254833554,38535168,19267584,9.345429308966681,-99.87991333007812,0.0
r1_pinned_fp16,64,13,0.007689720019698143,0.0,0.0008022720217704773,0.006828927993774414,8322.799768529452,19267584,19267584,24.016273130751507,-99.87991333007812,0.0
r1_pinned_fp16,64,14,0.0076740812510252,0.0,0.0007913600206375122,0.0068351998329162595,8339.760540253606,19267584,19267584,24.34743163355437,-99.87991333007812,0.0
r0_gpu_resident,64,14,0.006857756525278091,0.0,0.0,0.006828927993774414,9332.498137560331,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,14,0.03237812966108322,0.020858444273471832,0.004544991970062256,0.006830080032348633,1976.6428966069827,38535168,19267584,8.478599798158093,-99.87991333007812,0.0
r2_pageable_fp32,64,15,0.03186116740107536,0.02078387327492237,0.0041383042335510255,0.006847487926483154,2008.7148469594338,38535168,19267584,9.31182576853067,-99.87991333007812,0.0
r0_gpu_resident,64,15,0.006886482238769531,0.0,0.0,0.006848288059234619,9293.569311729678,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,15,0.007673734799027443,0.0,0.0007932800054550171,0.006832704067230224,8340.137061826956,19267584,19267584,24.288503261781212,-99.87991333007812,0.0
r0_gpu_resident,64,16,0.0068741124123334885,0.0,0.0,0.006845056056976318,9310.29290198566,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,16,0.007676033303141594,0.0,0.0007927359938621521,0.006834688186645507,8337.639699114714,19267584,19267584,24.305171140431927,-99.87991333007812,0.0
r2_pageable_fp32,64,16,0.03085506148636341,0.019813936203718185,0.004124639987945556,0.006832223892211914,2074.213983604771,38535168,19267584,9.342674297058831,-99.87991333007812,0.0
r1_pinned_fp16,64,17,0.007698904722929001,0.0,0.0008021439909934998,0.006840832233428955,8312.870765810905,19267584,19267584,24.02010638530874,-99.87991333007812,0.0
r0_gpu_resident,64,17,0.006840115413069725,0.0,0.0,0.006811615943908692,9356.567270445794,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,17,0.039192160591483116,0.028118815273046494,0.004133535861968994,0.00684716796875,1632.979632511199,38535168,19267584,9.32256772090612,-99.87991333007812,0.0
r2_pageable_fp32,64,18,0.03155400976538658,0.02046249993145466,0.004126783847808838,0.00687113618850708,2028.2683714640066,38535168,19267584,9.33782078759969,-99.87991333007812,0.0
r1_pinned_fp16,64,18,0.00773639976978302,0.0,0.0008017600178718567,0.006877056121826172,8272.581808656327,19267584,19267584,24.031609921311258,-99.87991333007812,0.0
r0_gpu_resident,64,18,0.006903339177370071,0.0,0.0,0.006875391960144043,9270.875782809464,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,19,0.007706914097070694,0.0,0.0007928320169448852,0.006865824222564697,8304.231654057963,19267584,19267584,24.302227443142492,-99.87991333007812,0.0
r0_gpu_resident,64,19,0.006911983713507652,0.0,0.0,0.006883232116699218,9259.281076564004,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,19,0.03209538012742996,0.021034087985754013,0.0041145920753479,0.006865920066833496,1994.0564575305687,38535168,19267584,9.36548928650278,-99.87991333007812,0.0
r1_pinned_fp16,64,20,0.007748309522867203,0.0,0.0008042560219764709,0.006884704113006592,8259.86620838003,19267584,19267584,23.957027953175444,-99.87991333007812,0.0
r2_pageable_fp32,64,20,0.041512444615364075,0.02083531580865383,0.013663104057312012,0.006874015808105469,1541.7063628267535,38535168,19267584,2.8203816525409056,-99.87991333007812,0.0
r0_gpu_resident,64,20,0.00693301297724247,0.0,0.0,0.006895872116088867,9231.195760065531,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,21,0.007728392258286476,0.0,0.0007932159900665283,0.0068847999572753905,8281.153163696941,19267584,19267584,24.290463431509995,-99.87991333007812,0.0
r0_gpu_resident,64,21,0.006890702992677689,0.0,0.0,0.006860991954803467,9287.876733042873,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,21,0.0319472998380661,0.020887523889541626,0.00412281608581543,0.006853631973266602,2003.299193496854,38535168,19267584,9.346807424318646,-99.87991333007812,0.0
r0_gpu_resident,64,22,0.006965078413486481,0.0,0.0,0.006921664237976074,9188.697700240791,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,22,0.007723167538642883,0.0,0.0007932800054550171,0.006882143974304199,8286.755360384956,19267584,19267584,24.288503261781212,-99.87991333007812,0.0
r2_pageable_fp32,64,22,0.0322182048112154,0.021090373396873474,0.0041736640930175786,0.006874335765838623,1986.454564275447,38535168,19267584,9.232934692676453,-99.87991333007812,0.0
r1_pinned_fp16,64,23,0.007748713716864586,0.0,0.0008023679852485657,0.006888544082641602,8259.43535127747,19267584,19267584,24.013400776491714,-99.87991333007812,0.0
r2_pageable_fp32,64,23,0.03825581446290016,0.027016781270503998,0.004262720108032227,0.006878047943115234,1672.9483059906124,38535168,19267584,9.040041809779707,-99.87991333007812,0.0
r0_gpu_resident,64,23,0.006947875022888184,0.0,0.0,0.006909599781036377,9211.44951358029,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,24,0.007695429027080536,0.0,0.0007992320060729981,0.006847392082214356,8316.625333659933,19267584,19267584,24.107623135202857,-99.87991333007812,0.0
r2_pageable_fp32,64,24,0.031863223761320114,0.020702797919511795,0.004198048114776611,0.006877471923828125,2008.585210316724,38535168,19267584,9.179305940863555,-99.87991333007812,0.0
r0_gpu_resident,64,24,0.006931968033313751,0.0,0.0,0.006894815921783448,9232.587295906138,0,19267584,,-99.87991333007812,0.0
r0_gpu_resident,64,25,0.006900012493133545,0.0,0.0,0.006871071815490723,9275.34552490865,0,19267584,,-99.87991333007812,0.0
r1_pinned_fp16,64,25,0.007737696170806885,0.0,0.000792959988117218,0.006895584106445312,8271.195790998097,19267584,19267584,24.298305448864337,-99.87991333007812,0.0
r2_pageable_fp32,64,25,0.031832076609134674,0.020725304260849953,0.004139264106750488,0.006885183811187744,2010.550577200932,38535168,19267584,9.309666405957332,-99.87991333007812,0.0
r0_gpu_resident,64,26,0.006949976086616516,0.0,0.0,0.006892447948455811,9208.664778465069,0,19267584,,-99.87991333007812,0.0
r2_pageable_fp32,64,26,0.03674248419702053,0.02562093734741211,0.0041456642150878905,0.006884352207183838,1741.8528278278418,38535168,19267584,9.295294071274181,-99.87991333007812,0.0
r1_pinned_fp16,64,26,0.007777690887451172,0.0,0.0008032640218734741,0.006897183895111084,8228.663356017412,19267584,19267584,23.986613959208206,-99.87991333007812,0.0
r1_pinned_fp16,64,27,0.007773745805025101,0.0,0.0007956479787826538,0.00691977596282959,8232.839303624922,19267584,19267584,24.216216861984012,-99.87991333007812,0.0
r0_gpu_resident,64,27,0.006892280653119087,0.0,0.0,0.0068635201454162595,9285.75071461098,0,19267584,,-99.87991333007812,0.0
