unit_id,arm,split,rows,queries,concurrency,window,input_bytes,result_bytes,pg_window_bytes,statement_timeout_ms,event_mode,flush_rows,producer_trace,query_index,role,status,query_status,query_jct_seconds,elapsed_seconds,recorded_rows,received_rows,recorded_bytes,results_sha256,t_release_ns,t_first_row_ns,t_last_row_ns,t_query_terminal_ns,t_results_durable_ns,t_stream_cleanup_ns,inline_recording_seconds,evaluation_status,exact_match_rows,exact_match_percent,token_f1_percent,error_type,error_sqlstate,independent_producer_verified,valid_rows_per_second,exact_match_rows_per_second
coarse-direct-c128,direct,tuning,256,1,128,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,7.158366823,7.160381294,256,256,23441,6d08c7e2c43f69f9de0e895be1dd6c74c083824b9cfc7016ebde9b53b0f358d1,162421961697408,162423918635977,162429119990716,162429120064231,162429120648321,162429120095877,0.003593485,completed,201.0,78.515625,87.67837472548251,,,False,35.762347240639585,28.079030450658426
scale-pg-n512,pg,tuning,512,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,15.289370783,15.291060163,512,512,47115,4cdbf341ea8635629f304caea2cb6b65f4e98a24f8084dc558e09eba21a1fb38,162566631490555,162577077822418,162581920779660,162581920861338,162581921382950,162581920915242,0.005529891,completed,417.0,81.4453125,90.10253012854228,,,True,33.48731659835762,27.273849651396734
scale-direct-n512,direct,tuning,512,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,9.162481091,9.164802158,512,512,47171,eabbc49c32118b9eac9aa5c6adfb81d46edde3994a9184c9db54745d0ae40c3f,162583213843308,162583994381981,162592376198880,162592376324399,162592377101983,162592376387928,0.006331241,completed,418.0,81.640625,89.99252653658829,,,False,55.88006075154911,45.62083084794439
scale-direct-n1024,direct,tuning,1024,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,17.75165439,17.753617569,1024,1024,94176,b39eb2a8c4575561c58c4062ee33c64a8ba8d0251f568f3174f07e5960603741,162593665266282,162594449855643,162611416786143,162611416920672,162611417373216,162611417014330,0.01191333,completed,838.0,81.8359375,90.2464345775861,,,False,57.684764332548504,47.206867686206685
scale-pg-n1024,pg,tuning,1024,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,25.828789404,25.830833473,1024,1024,94126,72386a39621392c57ea734e6442067cf959bd296252367c5f21a3b79e0fa6c9f,162613126233955,162622705744241,162638954991980,162638955023359,162638955501598,162638955054518,0.01286297,completed,837.0,81.73828125,90.15056259953352,,,True,39.645683116740166,32.40569996944484
scale-pg-n2048,pg,tuning,2048,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,47.873532166,47.875856289,2048,2048,188433,26ddeedb5a0b2bdd1e620f4662a5a7eba1a2cc728d9da180a6b51828f2e7127f,162640750930922,162650027309572,162688624400623,162688624463088,162688625187591,162688624500828,0.023075981,completed,1674.0,81.73828125,90.17490096087356,,,True,42.77937948882951,34.967129523584276
scale-direct-n2048,direct,tuning,2048,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,34.838345939,34.840257379,2048,2048,188596,7c6a378f5c8e2c2744d3ffd640be11178e5efc7d14c3bbef5b70e5fe05fa4d98,162690144195544,162690917109777,162724982347578,162724982541483,162724983482291,162724982628915,0.023432177,completed,1670.0,81.54296875,90.09164720692144,,,False,58.785798946538215,47.935685664413484
scale-direct-n4096,direct,tuning,4096,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,68.429653227,68.449287696,4096,4096,375938,d7ae9e6b69235ce82920991032d21371672c0c52b574b0e8fa5fa2c43a3e630d,162726580675480,162727375951204,162795010252437,162795010328707,162795010810220,162795010352577,0.046553792,completed,3344.0,81.640625,90.34050975892336,,,False,59.85709128778485,48.8677034341681
scale-pg-n4096,pg,tuning,4096,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,scale,completed,completed,97.657234901,97.660269867,4096,4096,375795,32e684253bfa620a5a65419c7bf894b8b98319ed576b9a44996476672b11a5a3,162797240548172,162809644618051,162894897695273,162894897783073,162894898583010,162894897847984,0.049057078,completed,3345.0,81.6650390625,90.33315314141939,,,True,41.942616992507716,34.25245455076619
screen-pg-c16,pg,tuning,1024,1,16,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,screen,completed,completed,26.688612333,26.691232253,1024,1024,94230,b03295df72560371040e404cde62e7ad56a053cfd8baba030141486efad4b5e1,163129848962399,163140684598837,163156537159609,163156537574732,163156538909977,163156538164056,0.014298901,completed,838.0,81.8359375,90.23345456191211,,,True,38.36842422615739,31.39915966945302
screen-direct-c64,direct,tuning,1024,1,64,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,screen,completed,completed,16.638409316,16.640499945,1024,1024,94247,3fbb135517e1a54bc98c8caa4f1a571e5a30a3c1b684d24b32d8378d035dfabb,163158041473379,163159166672179,163174679751894,163174679882695,163174680594362,163174679956756,0.009518364,completed,835.0,81.54296875,90.06885719556249,,,False,61.544344807967335,50.18508585415305
screen-pg-c64,pg,tuning,1024,1,64,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,screen,completed,completed,29.765873077,29.767990761,1024,1024,94085,9fb5c7fdf3e229fed18afb8b0fa7dd21f73d50d8a6457ad791423dd9943824cd,163176376406472,163186315398027,163206142244986,163206142279549,163206142863568,163206142311538,0.011397341,completed,838.0,81.8359375,90.15410503213155,,,True,34.40181302094047,28.153046202683708
screen-pg-c128,pg,tuning,1024,1,128,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,screen,completed,completed,26.092762726,26.094812308,1024,1024,94110,d6c6f960c6235eb47bab9d0b78eed1f717d7b62be47cf6eeba7fe8332d088718,163207979806065,163216808528392,163234072535156,163234072568791,163234073137486,163234072602591,0.011702131,completed,840.0,82.03125,90.32945912809686,,,True,39.24459861736452,32.19283480330683
window-pg-l32,pg,tuning,1024,1,32,32,134217728,134217728,67108864,300000,compact-buffered,64,True,0,window,completed,completed,21.67300274,21.674685277,1024,1024,94138,2b79f415b8503b5b3a5e9fe000565aeb28b20fa03a1500f1fb455201bb51935a,163274949790436,163278903690233,163296622667045,163296622793176,163296623384101,163296622941300,0.014400183,completed,835.0,81.54296875,89.97862774440702,,,True,47.247721614047094,38.52719487082942
window-pg-l64,pg,tuning,1024,1,32,64,134217728,134217728,67108864,300000,compact-buffered,64,True,0,window,completed,completed,19.467138107,19.469196507,1024,1024,94144,60b688f794272ba660e96b0d718140cf2cbca8d06e229414c04d157efab3bd71,163298360836509,163302503795516,163317827882583,163317827974616,163317828452564,163317828153388,0.015363873,completed,837.0,81.73828125,90.21911221398156,,,True,52.601465832915096,42.995534084130796
window-pg-l96,pg,tuning,1024,1,32,96,134217728,134217728,67108864,300000,compact-buffered,64,True,0,window,completed,completed,23.980945168,23.98285338,1024,1024,94032,714cdcb4acb54bfe6dd29c8fdf37cefa0108e5feb0fa6d3ce9cc5f7aa1eaf143,163319622482834,163326355982014,163343603351480,163343603428002,163343604126414,163343603491641,0.013695841,completed,836.0,81.640625,89.98700599554721,,,True,42.700568840231455,34.861011279720216
bytes-input,pg,tuning,512,1,32,64,1048576,134217728,67108864,300000,compact-buffered,64,True,0,bytes,completed,completed,9.910022137,9.91352733,512,512,47137,76945bf1dc4975faf4c470a0a9c06a10306534b82695176f25674e954811310c,163449187086288,163453141678979,163459097072166,163459097108425,163459098796505,163459097144217,0.007049276,completed,417.0,81.4453125,90.20018637854228,,,True,51.66486945456961,42.078614379991265
bytes-result,pg,tuning,512,1,32,64,134217728,33554432,67108864,300000,compact-buffered,64,True,0,bytes,completed,completed,18.172261727,18.332346128,512,512,47132,751e50cfda400608532d2ccf17a9c01e81f8079f7dc5573464a32411c31eed2c,163460654024684,163465982203864,163478826213009,163478826286411,163478984682968,163478826345950,0.005066014,completed,417.0,81.4453125,90.03742596187563,,,True,28.17480882081289,22.947061090388623
bytes-pg,pg,tuning,512,1,32,64,134217728,134217728,8388608,300000,compact-buffered,64,True,0,bytes,completed,completed,10.261512057,10.263691228,512,512,47130,caed323631dac6a2db4459a4e56295b8a996cf87fe2194f548eb4c4ac9b9522b,163480757939351,163484920511668,163491019418085,163491019451408,163491020068228,163491019489771,0.00596375,completed,416.0,81.25,90.00487387854228,,,True,49.89518086184324,40.53983445024763
observe-pg-buffered,pg,tuning,512,1,32,64,1048576,67108864,8388608,300000,compact-buffered,64,True,0,observe,completed,completed,10.119476801,10.12142683,512,512,47111,a352ddc9a8e45b2d5a3dbd15b3279977415c796d4c050d504cd57e6134a2a3a7,163590861943938,163594971473724,163600981249581,163600981420739,163600982296316,163600981640136,0.008098393,completed,417.0,81.4453125,90.09899506066898,,,True,50.595501137905124,41.20766401270789
observe-pg-no-trace,pg,tuning,512,1,32,64,1048576,67108864,8388608,300000,compact-buffered,64,False,0,observe,completed,completed,10.166541392,10.168305529,512,512,47130,c00b3c7ec16cbb67ecbf51c4d75212e85d4729ae1fd8300dea7d63cf4d5a77d3,163602593820544,163606663101353,163612760302803,163612760361936,163612760707469,163612760391176,0.007335063,completed,416.0,81.25,90.00487387854228,,,False,50.361276294304986,40.918536989122806
observe-pg-qualification,pg,tuning,512,1,32,64,1048576,67108864,8388608,300000,qualification,64,True,0,observe,completed,completed,10.235860194,10.238230752,512,512,47141,624fbcfb30334fcc3c610bdb4575d0f90a203f09e71a19f6142c890ab4ce7284,163614379888167,163618680045412,163624615705541,163624615748361,163624616651511,163624615781997,0.004429102,completed,418.0,81.640625,90.16763429520896,,,True,50.0202220718217,40.83682192582319
observe-direct-buffered,direct,tuning,512,1,64,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,observe,completed,completed,8.981910164,8.983924373,512,512,47106,188af398e55976b0d8f98b2db73bf2919c27dc54c0d87f259fe881ba942937f9,163625978307587,163627097325792,163634960075894,163634960217751,163634960718827,163634960261105,0.004909189,completed,416.0,81.25,90.01727467219308,,,False,57.0034648144361,46.31531516172933
observe-direct-qualification,direct,tuning,512,1,64,128,134217728,134217728,67108864,300000,qualification,64,True,0,observe,completed,completed,9.230936104,9.23355019,512,512,47131,cdfc9efa05671a9fa7436e54f84099a75ee413b5659b3834109e3b27a89c4c08,163636175456613,163637396246985,163645406326423,163645406392717,163645407352784,163645406428029,0.004817778,completed,416.0,81.25,90.00487387854228,,,False,55.46566396209128,45.06585196919916
observe-tight-no-trace,pg,tuning,512,1,32,64,134217728,33554432,67108864,300000,compact-buffered,64,False,0,observe,completed,completed,17.491713954,17.493850672,512,512,47125,ab46f4c288e4f1e9d246c45d022eb07f764c38a2c0afdf9c9f936420c40c4c2c,163646924078441,163651726341320,163664415756757,163664415792395,163664416320833,163664415821776,0.005656308,completed,417.0,81.4453125,90.19665131066898,,,False,29.271002335532472,23.83985932405672
repeat-1-direct,direct,tuning,4000,1,64,64,1048576,67108864,8388608,300000,compact-buffered,64,True,0,repeat,completed,completed,62.0455633,62.069782267,4000,4000,367169,07ef5b124b4a30b645d1d3fe2c12f8ad35f709a67c267cb979ff764155472457,163813294993033,163814732633666,163875340500387,163875340556333,163875341022846,163875340602329,0.039493801,completed,3267.0,81.675,90.32392024166384,,,False,64.46875146671447,52.65485276043904
repeat-1-pg16,pg,tuning,4000,1,16,64,1048576,67108864,8388608,300000,compact-buffered,64,True,0,rejected_candidate,failed,failed,16.453382406,16.455534894,756,756,69902,8650122eecd9e73dd9e61a8ce974ae2cd11fece77e71339eeacfc029cd811fe6,163877573939882,163881789746213,163894025097482,163894027322288,163894027810748,163894027323334,0.007888589,not_run,,,,ProgramLimitExceeded,54000,False,,
screen-safe-pg64,pg,tuning,512,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,screen,completed,completed,11.453923227,11.455913631,512,512,47069,2af18afa36def0e9ebd3db8b435d97667622992798d10ee18c69529ef18edfd0,164117266722298,164122370925077,164128720526160,164128720645525,164128721491021,164128720828241,0.013256929,completed,417.0,81.4453125,90.01789471187563,,,True,44.70084091301374,36.4067395717319
final-1-pg16,pg,tuning,4000,1,16,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,79.929908541,79.932228737,4000,4000,366891,cda1094a260342130455bc27fa821a024bb9e9324ab1b2db7cd27a24ea339226,164240698202676,164245141352585,164320628074101,164320628111217,164320628820665,164320628154219,0.047970198,completed,3264.0,81.6,90.28992222694896,,,True,50.04384557688068,40.835777990734634
final-1-pg32,pg,tuning,4000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,73.072572788,73.074466926,4000,4000,366887,a0e084703db859ca35a25ee592a1ec079b22a943a774b593de1943dda377a9bc,164323180122209,164327351321514,164396252664448,164396252694997,164396252965256,164396252726545,0.044986174,completed,3265.0,81.625,90.26413690018376,,,True,54.74010079821469,44.68160727654274
final-2-pg32,pg,tuning,4000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,73.023758109,73.025839419,4000,4000,367036,dca47a095502ddbbb6d037d4eec188ea564b480ed17a10289ee24fe212066344,164398815078684,164402944150064,164471838784568,164471838836793,164471839359970,164471838891605,0.053481009,completed,3268.0,81.7,90.34085100860932,,,True,54.776693278772925,44.75255840875748
final-2-pg16,pg,tuning,4000,1,16,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,80.20126228,80.203372538,4000,4000,366960,7da9edc4919f682840da24ffd4466a399a55be39d2f02e4de8122e70cd2895b6,164474351693970,164478694053381,164554552927624,164554552956250,164554553509525,164554552991643,0.045591572,completed,3262.0,81.55,90.24411581604413,,,True,49.87452673793503,40.672676554786015
final-2-direct,direct,tuning,4000,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,62.762897034,62.784814207,4000,4000,367034,78447a0aea229a357631f17197a018902f29e24006aebd3e3f173d835b8e0e94,164556655506193,164557730407464,164619418351665,164619418403227,164619420308117,164619418463273,0.036640231,completed,3264.0,81.6,90.28483490969057,,,False,63.73192107166619,52.00524759447961
final-3-pg16,pg,tuning,4000,1,16,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,80.609930272,80.612016464,4000,4000,366816,3d4b98d0fc1502d7ba98454e9f88eea21bbbb73cc92efc5e325c79e86aa02e3c,164621732017750,164626178642331,164702341892389,164702341948022,164702342398878,164702342006355,0.049215042,completed,3265.0,81.625,90.27649914003129,,,True,49.621677955841214,40.503694631455396
final-3-direct,direct,tuning,4000,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,62.678926635,62.701656224,4000,4000,367125,fd29eae4ea65f78c647fc7eb73b1ea64985b7d27e64c4661ad4c3f17aac5f1e8,164704566903312,164705476371760,164767245781694,164767245829947,164767246444733,164767245885064,0.037809416,completed,3262.0,81.55,90.24849942085527,,,False,63.817302157921674,52.04300990978513
final-3-pg32,pg,tuning,4000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,72.610927337,72.613006176,4000,4000,367022,283a23663f23ca169737ecb0d801646b313f92484ffe6b25af3ccf744ed70586,164769485137512,164773621007434,164842096014314,164842096064849,164842096517286,164842096114940,0.049547931,completed,3262.0,81.55,90.25288877327385,,,True,55.08812718277651,44.92436771755424
final-4-pg32,pg,tuning,4000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,73.337704901,73.339800153,4000,4000,366988,cd04a50dd95b33e1e1ffc42ed69e112e6c5dbb4b929388bcd88539dd52be57d5,164844719319977,164848644197388,164918056990961,164918057024878,164918057623235,164918057060275,0.042291081,completed,3265.0,81.625,90.31994311737249,,,True,54.54220316002087,44.52007332936704
final-4-direct,direct,tuning,4000,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,62.717568101,62.738166962,4000,4000,367133,263d13392c04af9bd06cd84be0158859ff8e4dc3a9ddb02d1b5848a54493e135,164920239223498,164921365162559,164982956754745,164982956791599,164982957467007,164982956834746,0.037771652,completed,3262.0,81.55,90.24096464759972,,,False,63.777983125213396,52.01094523861153
final-4-pg16,pg,tuning,4000,1,16,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,80.276374062,80.278478494,4000,4000,367097,cda14fde44574a63f293fbdb250b4f34a6866b964fe059aacd3469137b13628b,164985123853252,164989562152523,165065400189288,165065400227314,165065400669633,165065400268046,0.053273333,completed,3268.0,81.7,90.31702762872169,,,True,49.827860896042374,40.70936235206662
final-5-direct,direct,tuning,4000,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,62.233295554,62.254024624,4000,4000,366954,8c6d1dfff30cbd8d87558ffa762777ecedbebcaa56cfb59e7170a0ef8c66e0bd,165067605399829,165069062412335,165129838631694,165129838695383,165129839508598,165129838752779,0.036549105,completed,3265.0,81.625,90.2622134872899,,,False,64.2742757617454,52.46387759052468
final-5-pg32,pg,tuning,4000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,72.636844311,72.638758215,4000,4000,366837,dc944231504a431bda57c634f3d0c614468e98ecf22a889e8809f52a1c9922b6,165131976160341,165136127734597,165204612952846,165204613004652,165204613484014,165204613054649,0.055957831,completed,3270.0,81.75,90.36405172357846,,,True,55.06847162679184,45.01847555490233
final-5-pg16,pg,tuning,4000,1,16,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,repeat,completed,completed,79.960657739,79.962805254,4000,4000,367047,9b9d20828e5b4b20e9ba1d60b2f0c3a7b2f7600d6752cfb6f5dbb4a23313459b,165207204511570,165211372711778,165287165145698,165287165169309,165287165758500,165287165198223,0.051676919,completed,3261.0,81.525,90.22332459547997,,,True,50.02460101136763,40.78255597451746
evaluation-pg,pg,evaluation,2000,1,32,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,evaluation,completed,completed,37.177172581,37.179367816,2000,2000,185081,c6518cc732811975bfcea40551c4d66dfd14c4c109f41bac999e07b88a627b64,165385145233158,165389200464836,165422322384056,165422322405739,165422322919150,165422322436431,0.023059829,completed,1623.0,81.15,90.41398468646504,,,True,53.796452531253884,43.655821229112526
evaluation-direct,direct,evaluation,2000,1,64,64,1048576,67108864,67108864,300000,compact-buffered,64,True,0,evaluation,completed,completed,32.237797409,32.240167691,2000,2000,185099,f18dae25244eef175b7e7b619e7375a11cae4ddda02e670c2585b2270049bef0,165423979551606,165425330540204,165456217288422,165456217349015,165456217839399,165456217404366,0.01938509,completed,1627.0,81.35,90.48709544443449,,,False,62.03897786893,50.46870849637455
